sentence,label
"Ein Mitarbeiter von der Kanzlei hat erklärte, dass die Solar-Firma jahrelang auf neue Finanzgeber ausgesehen habe.",0
Kaufen Sie Thymian am besten in einer Apothek.,0
Jetzt verfügen über 5000 Unterzeichner 300 Menschen über eine Online-Petition.,0
Deshalb hat man eine spezielle Initiative entwickelt.,0
• Die Luchse sind nicht mehr so stark.,1
Meistgesucht Wartezeiten werden Ihnen im Kundenzentrum Chorweiler heute von 9:30 Uhr bis 18:00 Uhr angeboten.,0
• Dass nicht genug Regeln vom Umwelt-Schutz be-achtet werden.,1
Im September blieben wir aufgrund von Zeitkonflikten und anderen Verpflichtungen auseinander.,0
"Arbeitgeber können zum Beispiel bestimmten, welche Aufgaben die Beschäftigten ausführen, wo diese Beschäftigten tätig sind und wie lange sie arbeiten. Dann kann der Telefon-Dienst des Ministeriums für Arbeit und Soziales unterstützen.",0
Durch die Hormone wird das Zahnfleisch empfindlicher.,1
Es besteht ein Muster für den Verlustanzeigeantrag.,0
Das Benachteiligungsverbot erstreckt sich auch auf Institutionen wie das Verwaltungsamt oder das Sozialeinrichtung.,0
Er kennt das Arabische.,0
Hinweis: Sie hören auf einem Ohr plötzlich schlecht?,1
"Die Stellwerke passen zum Beispiel auf, dass Züge auf den richtigen Gleisen fahren.",1
Einige Personen setzen sich nicht mit den Corona-Auflagen ab.,0
In Sachsen-Anhalt kam es im Harzgebiet zu den größten Vorkommen von Wildkatzen.,0
In Mitteldeutschland finden sich 15 solcher Job-Centren.,0
"Alle Infos zu Anreise, Parken und Programm finden Sie hier.",1
Das Kind wird den Namen Immanuel tragen.,0
Beispiel: Wenn Sie die alten PIN-Ziffern vergessen haben.,0
"Deshalb sollten Sie: andere Personen nicht anhusten, andere Personen nicht anniesen, andere Personen nicht küssen, Tassen und Besteck nicht gemeinsam mit anderen Personen benutzen und Ihre Hände regelmäßig mit Seife waschen.",1
Nationalität,0
Ein Knödel aus Birnen.,1
Und du brauchst auch keine Kapsel für den Tee.,1
"Zum Beispiel: • A bedeutet: atomare Stoffe, • B bedeutet: biologische Stoffe, • C bedeutet: chemische Stoffe.",1
"Holger Fröhlich präsentiert sein Konjunkturprogramm, das die Menschen dazu anregen soll, mehr zu erwerben.",0
2021 15:01 Uhr 01:37 min Link des Audios Rechte: MITTELDEUTSCHER RUNDFUNK Heike Werner ist die Gesundheits-Ministerin vom Bundes-Land Thüringen.,1
Sie haben seit Wochen eine persistente Atemwegsinfektion und ihre Symptome zeigen keine Besserung.,0
